crystal	atoms	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163
2b	C27H50ClN	-16.639366	-16.071465	-16.657267	-16.59994	-16.624107	7.902021	-6.359283	-10.224608	-5.404162	-16.596504	-9.302681	-4.2610426	-8.999569	-8.109832	-9.573051	-6.2328715	-6.2142897	-4.22419	-5.437733	-3.6992066	-6.4994683	-7.267369	-8.584541	-6.851109	-8.116647	-8.093664	-5.4040856	-16.605257	-11.327648	-5.465597	-5.6929345	-4.9015913	-8.660552	-5.861186	-7.4075513	-6.992336	-7.1562543	-7.497148	-1.1749291	-16.373257	-2.1717827	-9.373723	-4.6092424	-9.181934	-9.633319	-6.421489	-5.8982406	-6.2419267	-5.867428	-16.5853	-16.60086	-16.628538	5.555501	9.7928095	2.4479363	0.9512082	10.603588	6.8602204	1.7005136	-16.67376	-16.702827	2.1108222	2.6470726	1.2421852	-16.514725	1.5559639	-3.0690055	-16.655865	3.3616908	-1.135157	0.7727335	-16.560225	-16.694118	-0.17127302	0.26328743	0.88575304	-2.4024363	-2.1200957	4.003784	-3.3678455	-1.3041245	-4.9198437	-4.4401836	0.4493746	0.46464223	-2.281237	-2.6488855	-0.11432162	-1.3410803	2.846324	1.1002227	-0.4455587	-4.779991	-16.623432	-3.1915457	0.44355315	0.2524868	-0.7202342	1.1000906	-2.7673764	-1.6214331	-2.473033	0.80732214	-2.1888628	-4.490283	0.87780267	2.3749096	-0.7878225	-7.646421	-0.7933039	-5.8703313	-0.024499726	-1.3140377	-3.9401863	-6.769536	-16.606382	-2.2996452	-5.890776	-3.9805415	-1.2717118	-1.0744779	-2.3675451	-4.4807725	-7.938141	-2.6381392	-3.3780596	-7.033792	-6.3255053	-3.0796533	-4.3881288	-11.319932	-8.314055	-1.2739387	-6.6063843	-2.7634137	-7.426976	-5.0582137	-5.165949	-5.1924157	-2.3428738	-5.8663464	0.6190248	-6.040028	-6.3503966	-8.134753	-8.5625925	-4.1422443	-7.396179	-7.236967	-14.70407	-8.658169	-11.276861	-9.357023	-11.593311	-7.5861883	-10.809101	-10.55422	-10.323452	-15.165345	-15.739545	-16.844011	-16.418398	-16.777266	-16.495808
2h-1-benzopyran-2-one	C9H6O2	-17.378372	-17.36063	-17.360727	-17.271538	-17.316551	3.1698885	-5.7088194	-9.495956	-8.086649	-17.328608	-6.2728095	-4.689836	-10.766056	-7.745923	-10.392353	-5.669259	-6.269159	-6.114376	-5.991278	-2.4387388	-6.4403615	-5.0196147	-8.369577	-6.298778	-7.632854	-10.28349	-3.8056664	-17.313225	-9.592478	-5.8858614	-3.2319772	-3.5058146	-6.2227697	-4.8458114	-5.7238526	-6.719101	-7.231975	-7.5408216	-3.9516406	-16.94172	-4.5581665	-9.340846	-4.5610766	-8.12529	-10.130791	-2.5167	-5.063135	-3.0298727	-4.248165	-17.333473	-17.316889	-17.29795	8.36845	10.223473	2.3367038	0.9754655	9.658596	5.8899236	1.2740322	-17.311836	-17.369709	-0.4831607	0.6016124	1.3907208	-17.249062	-0.4106151	-2.6169767	-17.342602	0.5398165	-3.2527163	-1.1580335	-17.292858	-17.359394	-1.0468798	-0.83705294	-2.628463	-2.9047883	1.3146503	0.69926614	-3.76287	0.52903247	-0.6304493	-3.6058905	-1.3625449	1.7934741	-2.4180593	-0.91758895	-4.1474576	-2.4476447	1.2449028	-1.3589697	-1.1134353	-4.7135515	-17.30561	-4.752952	-0.8350696	1.1056836	-1.234049	-1.8699182	-1.3620876	1.2853066	0.2764331	-0.8219714	-2.2805831	-7.20474	-1.5334278	-0.5734974	2.0209734	-6.3861346	-3.5872788	-9.071571	0.819258	0.33247074	-1.6538478	-6.2554626	-17.375282	0.8839615	-4.0325065	-2.9356265	3.0513024	-0.82647574	0.48567536	-1.7088145	-5.2436714	-0.6795993	-4.7184453	-4.0253468	-5.5671606	-4.1610384	2.060695	-8.829116	-7.0816927	1.4083446	-2.5472033	-0.9854256	-6.638111	-2.6096103	-3.7762737	-2.9085805	-1.7884853	-3.9692488	-2.603984	-4.932716	-5.863264	-6.705881	-10.190818	-3.245817	-8.429762	-7.0461564	-15.818333	-9.852099	-11.995182	-7.8153753	-11.135529	-11.356215	-9.528546	-12.4823265	-13.931385	-14.988282	-15.209988	-17.750362	-16.973146	-17.350845	-17.248995
3',4'-dimethoxyflavone	C17H14O4	-17.820568	-16.513193	-17.82888	-17.748451	-17.768557	5.204633	-6.5925417	-9.62079	-7.7546687	-17.765491	-7.5216856	-5.9486995	-10.710422	-7.535274	-10.119728	-6.2755237	-6.692437	-6.3768835	-6.6446133	-3.6856167	-7.978328	-5.468768	-9.7043915	-6.4121785	-8.8594055	-10.244502	-5.6517577	-17.782398	-10.782658	-6.8354397	-5.138227	-4.941915	-7.524017	-6.092166	-7.1205506	-9.162793	-7.139296	-9.072849	-4.936338	-17.463417	-4.05025	-8.438868	-5.8188996	-9.315102	-10.719654	-4.5122647	-6.8896275	-5.7637844	-5.8390417	-17.775925	-17.789099	-17.789557	7.807831	9.401163	1.057566	-0.24818516	9.363164	4.1396813	1.068704	-17.767502	-17.835644	-1.4121479	-0.23307595	-0.053776573	-17.724268	0.13166763	-1.7142916	-17.833744	0.28598708	-1.3528012	-0.2118245	-17.775589	-17.826982	-1.3166614	-0.55626863	-1.7831466	-1.7989948	0.21910234	1.7210673	-3.8309846	0.99520195	-1.033088	-2.447908	-1.8328365	-0.37051612	-2.5004818	-0.39339212	-2.5012803	-0.037724104	0.42532432	-1.1004606	-1.607678	-3.6301196	-17.779932	-2.6768517	-3.328503	-0.06597591	-1.2757725	0.3895708	-3.636723	1.0064756	0.08869889	0.6713064	-1.8910246	-5.374378	-1.1629553	1.2144359	-0.30661732	-5.0603676	-1.0628072	-6.4483075	0.7205551	-1.2169228	-1.9781637	-4.48021	-17.805387	-0.6848796	-2.4882312	-0.8841912	1.1588975	-1.1742727	-1.3832827	-3.4044454	-4.5131025	-1.1714486	-2.724129	-3.8472872	-5.4085565	-3.6912	-0.9683781	-10.671399	-6.2403755	0.3628012	-3.0421836	-1.1577826	-5.9150367	-3.5037632	-2.842657	-4.122796	-1.200669	-3.3353841	-1.9886613	-4.7987766	-6.1819267	-6.770089	-10.303471	-4.6009736	-9.24063	-6.8052526	-16.523323	-10.1106615	-11.639759	-7.6396675	-11.8492565	-10.531756	-9.921865	-13.060063	-13.695353	-15.944091	-16.168303	-18.21176	-17.571125	-17.85601	-17.776836
3'-azido-3'-deoxythymidine	C10H13N5O4	-18.452879	-16.365227	-18.486452	-18.425447	-18.448376	5.539635	-6.9867163	-10.381635	-5.930351	-18.39726	-8.682339	-6.0851836	-11.605453	-7.330654	-8.674541	-8.518706	-6.955246	-5.1731267	-6.0743275	-2.8842497	-6.304926	-5.8606	-8.493501	-7.247922	-7.9337687	-9.269483	-6.02219	-18.438972	-10.063803	-6.050843	-6.247058	-5.040378	-9.119297	-5.696093	-7.1236377	-8.560853	-7.4657993	-7.6513577	-2.5014641	-18.224768	-4.6304836	-9.974883	-6.5822487	-8.064205	-10.776284	-5.6289277	-9.029539	-6.294978	-6.185	-18.46261	-18.405275	-18.428276	7.8835535	9.14727	1.8552899	0.8588786	9.419516	8.208012	2.0549574	-18.403662	-18.457687	0.6413354	2.3755689	2.9204328	-18.389538	0.4158809	0.23830344	-18.435307	1.3716981	0.5867701	0.6790655	-18.4192	-18.465687	-0.90012527	0.043109115	0.92163813	-1.2475467	-1.4068811	3.347123	-3.2442715	-0.034143347	-3.8237553	-2.004142	-3.3714635	-0.83566165	-1.2681699	0.29388642	-4.109534	-1.0887445	0.5095937	1.7913662	-2.5965166	-4.4717793	-18.466446	-5.141715	0.025921166	-0.59992105	-2.2279937	-0.696412	-2.5005999	-0.06588048	-3.367518	-0.9336911	0.47274318	-4.111238	0.45131066	0.8971412	-2.3107102	-6.4595385	-0.4055951	-5.946866	0.27068022	-1.0297153	-4.6518526	-3.643621	-18.423262	0.5209577	-4.555028	-4.0339365	-0.036968045	-1.8036922	-2.5833545	-4.3151264	-6.917775	-2.667684	-3.0854125	-6.6654506	-4.758274	-3.9635751	-2.870663	-11.498521	-7.6992946	-0.49047098	-6.4251533	-2.7311306	-7.300188	-5.8469777	-5.112271	-5.1067863	-2.902264	-6.0524373	-3.5116897	-6.6878624	-8.721397	-8.852043	-9.37034	-5.8425364	-10.416556	-8.40193	-16.880308	-10.32356	-10.179124	-10.507696	-14.66469	-11.18996	-11.257545	-13.67028	-14.064439	-16.508204	-17.018774	-18.869534	-18.240454	-18.60128	-18.398626
3'-deoxy-3'-fluorothymidine	C10H13FN2O4	-18.05877	-19.364557	-18.080015	-18.028059	-18.02975	4.3821263	-6.4409943	-10.752375	-8.322458	-18.011272	-7.9296436	-3.286157	-10.303947	-8.443154	-10.213879	-5.6683154	-7.5606685	-7.405795	-6.730899	-2.3444989	-8.4693165	-6.8452315	-8.463312	-6.778122	-8.099527	-10.317748	-5.2809753	-18.021248	-8.874911	-5.3877254	-3.3940628	-4.321549	-6.8641253	-7.3528185	-7.7033043	-7.3634825	-7.230014	-9.124499	-4.8744903	-17.716541	-4.9114866	-10.416407	-6.9480534	-8.774071	-12.671997	-3.5786963	-7.424706	-4.467867	-5.7206397	-18.029829	-18.002945	-18.036283	8.554152	9.071784	3.8758945	5.908853	9.317727	6.114679	4.3919587	-18.060844	-18.08252	1.0894548	3.8149514	0.38422042	-17.97043	1.7306248	-1.5144527	-18.040987	0.25644967	-2.6534545	-2.2841928	-17.988073	-18.084072	-0.41284603	-1.9149759	-1.6009923	-0.1363812	0.35817668	0.6894049	-4.830709	1.4114089	-0.38338387	-3.2805085	-1.6737522	2.66511	-1.9448017	-0.6054872	-4.728915	-2.1616902	-0.3468101	-2.3375504	0.21361391	-2.446315	-18.046486	-5.2639875	-3.186461	2.5189035	-3.2669783	-2.2058988	-0.47419757	1.2838191	0.8450555	-1.7504746	-5.3370533	-5.8328185	-2.224622	-0.57503366	2.6754346	-8.490444	-5.1893535	-9.526779	0.012669058	-0.10004149	-1.9646442	-7.598329	-18.026516	0.08935818	-5.063458	-2.2100935	1.3953009	-4.7313447	-1.6227176	-2.5920563	-5.1965313	-1.7246537	-4.772474	-5.545548	-6.33269	-4.0484796	-0.30510807	-9.621432	-6.5224614	-0.5924239	-3.261405	-4.393645	-7.4584374	-2.4657485	-3.6575372	-5.4155083	-4.2164574	-5.8942547	-2.9654315	-3.99021	-7.353703	-9.397077	-8.10276	-3.5834577	-8.158594	-8.986833	-16.152979	-8.272804	-11.695992	-8.722168	-11.858013	-10.559962	-7.944944	-11.797849	-13.741444	-16.558985	-16.636948	-18.421518	-17.78086	-18.124249	-17.972752
3,3',4,4'-tetrachlorobiphenyl	C12H6Cl4	-16.983936	-13.988439	-16.964867	-16.88378	-16.909279	4.7030253	-8.9738455	-8.19838	-5.5886364	-16.91779	-7.771807	-6.4553747	-9.903451	-7.6203947	-9.747607	-8.976106	-7.744804	-4.057111	-3.7438157	-5.3804107	-6.8216157	-5.155564	-8.838558	-7.811046	-8.146959	-9.781047	-6.652979	-16.871927	-9.33988	-7.7610106	-5.1571083	-5.72979	-8.746231	-5.730362	-5.8083816	-8.552949	-8.897424	-6.328862	-3.6439884	-16.673468	-1.6644036	-8.032019	-5.3769374	-6.5768914	-10.837849	-5.5397882	-8.338409	-5.816277	-4.834876	-16.905441	-16.901863	-16.918335	3.9005163	8.557446	-0.0022013886	-2.2953858	7.796059	5.2333055	4.3567896	-16.958242	-16.926798	-0.77218103	-2.8994195	2.5370426	-16.840603	0.074933305	1.5402194	-16.953865	0.112958565	3.161475	-0.14257865	-16.86181	-17.010025	-1.8233131	1.244936	0.16109861	-2.884421	0.035374686	7.2888336	-1.4752362	1.7810903	-3.7375236	-2.948268	-2.4576795	-2.6190064	-2.3649158	-1.3874278	-3.223379	0.041085068	-1.3774464	1.1119096	-2.4970374	-3.5284731	-16.903559	-3.028259	-2.3735836	-0.17821087	-1.7873482	1.0063031	-3.6777215	-2.3759174	-3.4047909	2.042732	-1.1591997	-5.230611	-0.72050756	2.5412047	-2.079099	-4.354755	1.254458	-4.890768	0.2286289	-1.7415819	-5.0589614	-1.6850814	-16.884293	1.5684135	-3.4670806	-2.6644335	0.022718566	1.8573043	-2.2926834	-5.9667373	-5.8356304	-3.5624473	1.5540555	-5.315864	-6.605588	-2.6383471	-3.703089	-9.399534	-5.968445	0.84010476	-4.414246	1.7424487	-3.9848855	-4.2191634	-2.2448695	-4.577844	-0.6405242	-3.089956	-0.66760933	-4.703463	-6.7134485	-8.275205	-8.881167	-3.9334257	-9.628116	-7.6099305	-15.217149	-8.509492	-9.265027	-9.5750475	-12.994068	-9.147815	-8.51291	-12.052964	-12.358746	-14.6252365	-15.460775	-17.253223	-16.603634	-16.8415	-16.817263
3,3'-diindolylmethane	C17H14N2	-17.1182	-15.770934	-17.142736	-17.065954	-17.084549	6.578811	-6.3792405	-9.873789	-6.2059026	-17.059175	-8.007795	-4.9529543	-10.636009	-7.0514126	-8.864501	-6.242024	-6.6081758	-4.515613	-5.2874885	-4.0675116	-6.1218934	-6.211122	-8.465083	-6.288023	-8.236458	-9.242277	-5.079259	-17.076836	-11.071561	-6.1020765	-5.6189375	-4.852993	-8.793285	-4.975722	-6.346514	-8.114865	-6.354101	-7.5746226	-2.974122	-16.862696	-3.9323797	-9.235714	-5.04727	-8.647249	-9.350706	-5.1885543	-6.4952693	-5.546896	-6.2684026	-17.110662	-17.084131	-17.093521	5.413598	10.177994	2.9692655	0.83196175	9.938152	8.201824	1.2394567	-17.095985	-17.143133	1.6475475	1.7518123	2.639121	-17.030798	0.7458359	-1.1739391	-17.116182	1.8322952	-1.0928022	-0.104734585	-17.062258	-17.138735	-0.19967449	-1.8353581	1.4688423	-2.4419444	-1.4131868	3.2615802	-2.687529	-0.25725272	-3.0833642	-4.641697	-1.3757255	-0.7818922	-2.5911186	-0.6430553	-2.6709576	-2.1155586	1.434668	0.28557542	-1.47072	-5.3630257	-17.095617	-4.5362425	-0.03073791	-0.12504938	-0.05219485	-0.018644042	-3.143643	0.97122484	-1.6831056	-0.14026819	-0.47430447	-4.42266	-0.38930234	0.76214457	-0.6725908	-6.2423167	-1.0548419	-6.8498473	1.3217322	-0.5177438	-4.8293834	-4.917443	-17.1034	0.04732749	-4.859043	-3.1768236	0.18472125	-1.5163327	-0.60448694	-3.440669	-6.651861	-1.978612	-2.2249885	-6.2476826	-5.564539	-2.3290882	-2.264071	-10.538785	-8.754142	-0.03608174	-5.9517336	-1.8590354	-6.5519533	-5.579075	-4.4954696	-4.1611023	-1.9370328	-5.20434	-1.2875655	-5.7039537	-6.4159083	-7.3019032	-9.009601	-3.2179267	-8.049529	-7.1668086	-15.212876	-9.331588	-10.10484	-8.78359	-11.767713	-9.488356	-10.541494	-11.614621	-11.649503	-15.197897	-15.924767	-17.369907	-16.810762	-17.233305	-17.017551
3,4,5-trichlorophenol	C6H3Cl3O	-17.61427	-12.531164	-17.56796	-17.544035	-17.537256	2.5293572	-9.236703	-7.500264	-4.701201	-17.552055	-7.2390776	-7.6594853	-9.990691	-7.1186094	-9.452216	-9.713079	-7.6372967	-5.779111	-3.4425135	-3.852227	-6.9941545	-5.7847223	-8.348849	-7.956696	-7.946382	-10.51403	-7.3983507	-17.503485	-9.044692	-8.120606	-5.0536313	-6.4952	-10.4562235	-6.1003685	-4.322528	-9.75639	-8.538246	-7.1240025	-4.010598	-17.288908	-1.9315274	-7.0347896	-4.7596984	-7.2527833	-11.182307	-5.740891	-9.14311	-7.8284273	-3.8355246	-17.570824	-17.526285	-17.49589	5.8325253	7.7136755	-1.2897357	-4.154487	7.2306895	3.981915	4.8005214	-17.555779	-17.525084	-1.3850783	-6.181967	2.9050345	-17.47363	-0.22458668	1.6555902	-17.565094	1.8732458	3.5044444	0.2517006	-17.495455	-17.599794	-2.0901358	-0.27397096	-1.5924126	-5.2995996	1.0844423	7.3014064	0.11639013	0.36697856	-2.3785055	-1.1581126	-1.4025855	-3.7640011	-3.1511505	-2.28197	-1.6863235	-0.38705716	-1.8096696	0.3486602	-3.8801038	-2.711939	-17.535847	-0.6842468	-2.523901	-0.34739074	-0.29239303	2.556139	-4.061769	-3.333237	-4.483621	3.1576416	0.6753745	-4.839964	-0.6200072	0.38134953	-3.3469467	-1.1630962	1.3416061	-3.343496	-1.0487804	-2.5274172	-6.13549	-0.16058613	-17.475069	0.622369	-3.2686236	-4.026829	-1.3608451	1.8853405	-3.1086426	-8.158921	-5.0587816	-6.0907884	1.6308372	-4.019552	-6.2991276	-1.776197	-2.2360876	-9.086277	-4.56995	-0.5725029	-3.6148221	2.3546913	-3.4888985	-3.3376603	-1.4262967	-4.3657002	-1.4735363	-2.585686	-0.9234669	-6.543683	-6.544146	-8.410976	-10.589412	-3.805399	-11.223354	-6.805413	-16.073734	-9.873125	-9.513808	-10.041016	-13.293201	-11.667423	-9.632055	-14.127079	-13.544009	-15.1421385	-15.928245	-17.856094	-17.293983	-17.474852	-17.424362
3,4,7,8-tetramethyl-1,10-phenanthroline	C16H16N2	-17.027195	-15.734475	-17.071056	-16.988613	-17.023958	6.761521	-6.0105243	-10.208205	-6.1382074	-16.969637	-8.021656	-5.1018214	-10.039245	-7.1366887	-8.642193	-6.25504	-6.510526	-4.5354023	-5.348795	-4.2260647	-6.160984	-6.406001	-8.476133	-6.4261146	-8.144149	-9.185052	-5.0805273	-17.008	-11.239939	-5.7355676	-5.6741667	-5.0021324	-8.388126	-4.990772	-6.107018	-7.7475224	-6.5377107	-7.7399616	-2.5966341	-16.772882	-3.7467577	-9.009543	-4.845594	-9.135288	-9.15575	-5.3289604	-6.141797	-5.549429	-6.0641847	-17.030392	-16.99327	-17.01557	4.9621863	9.79463	3.0623941	-0.11668429	9.804467	8.190289	0.5179586	-17.042936	-17.052591	1.8085296	1.5385319	2.562843	-16.953213	1.1629379	-1.5452986	-17.03509	2.52752	-1.5999479	0.3507716	-16.990322	-17.070787	-0.09586399	-1.8614602	1.3160095	-3.2681255	-1.5543976	3.315558	-3.0186927	-0.5118429	-3.1729527	-4.6257806	-0.43114325	-0.45142764	-2.1695259	-1.3923621	-1.6623938	-1.9858972	1.6368076	-0.10192997	-1.423846	-5.4491363	-17.016457	-3.9970543	0.5271065	-0.23976427	0.48822594	0.06761638	-3.0544474	0.78380936	-1.4667678	-0.44434953	-0.21336338	-4.642534	-0.65915877	0.56907314	-0.5143018	-5.8969946	-1.0565085	-6.7328725	0.78477037	-0.5045556	-4.3091435	-5.0238104	-17.03485	-0.381108	-4.976284	-3.8445477	-0.09958735	-1.2655677	-0.593764	-2.9393187	-6.439687	-1.9863503	-2.5023584	-6.2687073	-5.953681	-2.0688128	-2.4035914	-10.6939335	-8.849303	0.15302885	-5.9833283	-1.1660687	-6.746412	-5.420916	-4.821954	-3.9643824	-1.2583433	-5.21215	-0.6412591	-5.7824907	-5.733048	-6.8693986	-9.117827	-3.2036452	-7.7945266	-6.791081	-15.222111	-9.270343	-9.944775	-8.373636	-11.513614	-9.330569	-11.180794	-11.299758	-11.15503	-14.997974	-15.758153	-17.237713	-16.748726	-17.133564	-16.922886
3,4-benzopyrene	C20H12	-17.199423	-16.80006	-17.226622	-17.147831	-17.141735	6.476844	-6.104133	-9.897516	-6.7485337	-17.138477	-8.338297	-3.9880533	-10.430768	-7.3268504	-9.470593	-5.639991	-5.957866	-4.385701	-6.343124	-4.3669057	-6.230105	-5.7131867	-9.291457	-6.461399	-8.46683	-9.28239	-5.4465675	-17.177893	-11.344397	-6.02463	-5.560121	-3.984418	-7.343591	-5.1318884	-7.063877	-7.735395	-7.2491326	-7.53549	-2.4804525	-16.876776	-4.1853547	-9.109047	-5.390878	-9.306581	-10.021481	-4.514446	-5.4917293	-5.1064687	-6.8609376	-17.186365	-17.16188	-17.14518	5.371492	10.42461	2.1763563	2.2098064	10.041082	5.89977	1.185455	-17.17913	-17.197647	1.0261039	3.650917	1.5411395	-17.113365	0.2146849	-2.415878	-17.190304	0.9081153	-1.8793887	0.23666532	-17.138233	-17.233627	-1.5039195	0.00886779	0.93128854	-1.5997928	-1.5833224	2.3404331	-4.1029515	-0.001096586	-3.3304486	-4.699538	-1.906341	0.5229799	-1.7294296	-0.6472962	-2.5329206	-0.8269574	2.3424804	0.7431616	-0.1402023	-5.2114563	-17.16465	-4.4009776	-0.1688588	-0.094709896	-1.0087404	-0.4975149	-3.1437347	1.1664221	-0.9402479	0.062175848	-2.2751184	-4.5666237	0.40603963	2.3935637	-0.8835838	-7.9735694	-1.3682736	-6.916903	1.4109873	-0.16021171	-2.6466444	-6.632323	-17.168726	-0.9014999	-4.6625423	-2.3534694	1.1561997	-0.76163155	-0.0064718877	-1.9561347	-6.1492076	0.31740886	-3.4056897	-5.4368687	-5.5350676	-3.7861035	-2.724775	-10.818097	-8.635983	-0.2151212	-5.522272	-2.4061697	-7.0530047	-4.39229	-4.293515	-4.816533	-1.3132758	-5.1036396	-0.93494314	-5.61068	-6.560301	-7.634667	-9.232957	-4.2383876	-7.7584996	-7.871373	-15.11158	-9.013843	-11.851179	-9.452376	-11.686711	-8.177222	-10.423893	-11.738221	-11.803864	-15.207296	-16.089083	-17.483042	-16.817482	-17.297796	-17.107008
3,4-diaminopyridine	C5H7N3	-17.250904	-15.853761	-17.252846	-17.222176	-17.274117	3.9078066	-6.4457335	-9.862146	-5.942453	-17.222767	-7.4574046	-4.891119	-10.52182	-7.606316	-8.758314	-7.135603	-6.842728	-4.9977894	-4.942865	-2.9851213	-5.8998694	-6.2677073	-7.655556	-6.093794	-7.0284147	-8.599004	-4.1209254	-17.163946	-9.087271	-5.8007646	-4.3760934	-4.338836	-8.97919	-5.096281	-5.3792763	-7.746155	-5.862141	-6.8721466	-3.2044806	-17.065536	-4.7474327	-9.2453985	-4.514343	-6.834931	-9.504	-5.1942797	-6.737817	-4.107561	-4.5736146	-17.210701	-17.235018	-17.251488	6.1808367	9.435361	4.049661	1.597707	10.046398	8.778812	2.6968853	-17.2364	-17.297195	1.3008583	1.3944379	2.7132754	-17.15164	-0.55129504	-0.8057211	-17.208359	1.0441393	-0.83545077	-0.85103166	-17.160591	-17.270445	0.99513304	-1.5036279	0.6121488	-1.3932496	-1.2925552	2.1215127	-2.415701	-0.42993867	-3.1237757	-4.530079	-1.2800325	-0.22604248	-3.1794236	-0.8749681	-3.80365	-3.7098434	0.3113958	-0.20076746	-1.3632449	-4.504327	-17.256786	-5.7894077	0.8099771	0.65288	-0.7251469	-0.33525273	-0.5924289	-0.030150251	-2.679068	-0.06499519	-0.6336091	-3.8835263	-0.30170715	-0.5494038	-0.15407018	-7.6355524	-1.420228	-7.7189503	1.1580461	0.34992665	-5.5263257	-4.6929655	-17.283607	2.1347926	-5.2399864	-3.5801475	-0.41552123	-2.4516032	-1.2256517	-4.3124146	-6.3632526	-2.6540756	-2.2991962	-6.5113263	-4.5783725	-2.7597544	-1.1410015	-8.768476	-7.218377	-0.7109325	-5.158118	-3.0466812	-5.9405584	-5.0167117	-3.5451946	-3.7021427	-3.9788346	-5.885147	-2.769149	-5.47913	-7.7180486	-7.8510017	-8.304575	-2.624795	-8.358493	-7.2296324	-15.528417	-9.12332	-9.029481	-8.064655	-12.050553	-10.198902	-9.942098	-11.365497	-12.250642	-15.554821	-16.016718	-17.60313	-16.937847	-17.399876	-17.103424
3,4-dihydroxybenzaldehyde	C7H6O3	-18.025822	-18.291496	-18.005268	-17.95947	-17.962257	3.0345995	-6.2725573	-10.21126	-7.425308	-17.952927	-8.182218	-4.2034097	-9.977246	-9.162082	-10.036452	-6.107801	-6.228965	-6.491076	-6.7432556	-1.944888	-6.920829	-6.1372433	-8.354253	-7.722321	-8.414075	-9.738429	-4.4869	-17.959213	-9.106101	-5.308001	-3.7494874	-3.4666376	-6.4463234	-7.0938325	-6.521719	-6.9411983	-8.53629	-9.633339	-2.056719	-17.599596	-2.9847605	-9.64568	-4.9693513	-10.077737	-12.261927	-3.2302237	-6.0085464	-4.7342434	-5.2301774	-17.970901	-17.978155	-17.953878	8.937223	10.091681	0.53055847	1.2305852	9.705952	3.973111	3.545017	-17.980824	-18.017553	1.2665417	2.6134713	0.5869727	-17.904428	2.070456	-4.34439	-17.97124	2.39772	-3.618188	-0.12270903	-17.947458	-18.025515	-2.6532488	0.20986484	-3.0302105	-3.510968	1.1433413	1.0390722	-6.3657026	1.0737156	-2.4731405	-1.6070515	0.31818005	2.4210541	-1.1956295	-2.5267663	-0.83881354	-0.033576652	1.4753342	-0.78141165	-0.2466518	-2.7002044	-17.986374	-2.9412081	-1.0048655	2.2832665	-1.3847774	-0.3727778	-2.3498285	-2.1850126	-0.64341193	-0.7969636	-3.7159894	-7.535126	-1.2128077	0.55642176	0.6473185	-7.637172	-5.5507503	-8.562591	-1.6038818	-1.8482652	0.08837355	-7.854978	-18.013338	-1.783092	-5.1943946	-4.280713	1.2233504	-1.7346023	-2.4248676	-3.444039	-6.0700264	-2.4082258	-6.50657	-5.178835	-8.464801	-6.012065	-0.6039985	-10.192336	-5.7092934	-0.38294455	-3.3686142	-2.0586627	-8.4002905	-0.9069195	-3.8838186	-6.1900635	-2.1745367	-5.7775354	-0.8320451	-6.78011	-6.444696	-9.7840805	-11.109391	-5.2395034	-9.122626	-9.017525	-16.35434	-10.063404	-13.631605	-10.779076	-12.775143	-10.636604	-9.897536	-13.000272	-13.95272	-15.8220215	-16.078632	-18.468208	-17.73398	-18.09936	-17.897196
